"IndividualId","Quantity Path","Parameter","Value","Unit"
8,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_norm,206961654663.086,µg*min/l
9,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_norm,195058563232.422,µg*min/l
0,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf,4507.17724609375,µmol*min/l
1,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf,5793.8193359375,µmol*min/l
2,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf,979.127868652344,µmol*min/l
3,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf,3056.92065429688,µmol*min/l
4,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf,6317.876953125,µmol*min/l
5,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf,10750.4873046875,µmol*min/l
6,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf,4983.67333984375,µmol*min/l
7,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf,5026.5087890625,µmol*min/l
8,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf,2817.04931640625,µmol*min/l
9,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf,2449.2724609375,µmol*min/l
0,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf_norm,649345642089.844,µg*min/l
1,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf_norm,704634460449.219,µg*min/l
2,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf_norm,138857910156.25,µg*min/l
3,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf_norm,413031768798.828,µg*min/l
4,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf_norm,255033508300.781,µg*min/l
5,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf_norm,397606536865.234,µg*min/l
6,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf_norm,679658813476.563,µg*min/l
7,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf_norm,684293945312.5,µg*min/l
8,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf_norm,209491714477.539,µg*min/l
9,Organism|Bone|Intracellular|Theophylline|Concentration in container,AUC_inf_norm,197293792724.609,µg*min/l
0,Organism|Bone|Intracellular|Theophylline|Concentration in container,MRT,16.3124196370443,h
1,Organism|Bone|Intracellular|Theophylline|Concentration in container,MRT,17.515077718099,h
2,Organism|Bone|Intracellular|Theophylline|Concentration in container,MRT,3.92234268188477,h
3,Organism|Bone|Intracellular|Theophylline|Concentration in container,MRT,10.8141235351563,h
4,Organism|Bone|Intracellular|Theophylline|Concentration in container,MRT,6.64515482584635,h
5,Organism|Bone|Intracellular|Theophylline|Concentration in container,MRT,10.5084564208984,h
6,Organism|Bone|Intracellular|Theophylline|Concentration in container,MRT,15.6868581136068,h
7,Organism|Bone|Intracellular|Theophylline|Concentration in container,MRT,15.6488433837891,h
8,Organism|Bone|Intracellular|Theophylline|Concentration in container,MRT,5.39064737955729,h
9,Organism|Bone|Intracellular|Theophylline|Concentration in container,MRT,5.30377298990885,h
0,Organism|Bone|Intracellular|Theophylline|Concentration in container,Thalf,11.3626088460286,h
1,Organism|Bone|Intracellular|Theophylline|Concentration in container,Thalf,12.1833089192708,h
2,Organism|Bone|Intracellular|Theophylline|Concentration in container,Thalf,2.75011266072591,h
3,Organism|Bone|Intracellular|Theophylline|Concentration in container,Thalf,7.54159291585286,h
4,Organism|Bone|Intracellular|Theophylline|Concentration in container,Thalf,4.75745544433594,h
5,Organism|Bone|Intracellular|Theophylline|Concentration in container,Thalf,7.44756774902344,h
6,Organism|Bone|Intracellular|Theophylline|Concentration in container,Thalf,10.9208374023438,h
7,Organism|Bone|Intracellular|Theophylline|Concentration in container,Thalf,10.8945129394531,h
8,Organism|Bone|Intracellular|Theophylline|Concentration in container,Thalf,3.77389984130859,h
9,Organism|Bone|Intracellular|Theophylline|Concentration in container,Thalf,3.72553100585937,h
0,Organism|Bone|Intracellular|Theophylline|Concentration in container,FractionAucLastToInf,0.230473265051842,
1,Organism|Bone|Intracellular|Theophylline|Concentration in container,FractionAucLastToInf,0.254702299833298,
2,Organism|Bone|Intracellular|Theophylline|Concentration in container,FractionAucLastToInf,0.00234308373183012,
3,Organism|Bone|Intracellular|Theophylline|Concentration in container,FractionAucLastToInf,0.109669059514999,
4,Organism|Bone|Intracellular|Theophylline|Concentration in container,FractionAucLastToInf,0.0292125064879656,
5,Organism|Bone|Intracellular|Theophylline|Concentration in container,FractionAucLastToInf,0.104653052985668,
6,Organism|Bone|Intracellular|Theophylline|Concentration in container,FractionAucLastToInf,0.217378929257393,
7,Organism|Bone|Intracellular|Theophylline|Concentration in container,FractionAucLastToInf,0.216603502631187,
8,Organism|Bone|Intracellular|Theophylline|Concentration in container,FractionAucLastToInf,0.0120771424844861,
9,Organism|Bone|Intracellular|Theophylline|Concentration in container,FractionAucLastToInf,0.0113294487819076,
0,Organism|Bone|Intracellular|Theophylline|Concentration in container,CL,1.54001195915043,ml/min/kg
1,Organism|Bone|Intracellular|Theophylline|Concentration in container,CL,1.41917553264648,ml/min/kg
2,Organism|Bone|Intracellular|Theophylline|Concentration in container,CL,7.20160640776157,ml/min/kg
3,Organism|Bone|Intracellular|Theophylline|Concentration in container,CL,2.42112134583294,ml/min/kg
4,Organism|Bone|Intracellular|Theophylline|Concentration in container,CL,3.92105337232351,ml/min/kg
5,Organism|Bone|Intracellular|Theophylline|Concentration in container,CL,2.51504918560386,ml/min/kg
6,Organism|Bone|Intracellular|Theophylline|Concentration in container,CL,1.47132657002658,ml/min/kg
7,Organism|Bone|Intracellular|Theophylline|Concentration in container,CL,1.46136025432497,ml/min/kg
8,Organism|Bone|Intracellular|Theophylline|Concentration in container,CL,4.7734584659338,ml/min/kg
9,Organism|Bone|Intracellular|Theophylline|Concentration in container,CL,5.06858341395855,ml/min/kg
0,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vss,1507.27915763855,ml/kg
1,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vss,1491.41824245453,ml/kg
2,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vss,1694.83006000519,ml/kg
3,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vss,1570.93822956085,ml/kg
4,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vss,1563.36045265198,ml/kg
5,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vss,1585.75713634491,ml/kg
6,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vss,1384.82940196991,ml/kg
7,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vss,1372.11585044861,ml/kg
8,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vss,1543.92194747925,ml/kg
9,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vss,1612.95688152313,ml/kg
0,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vd,1514.70458507538,ml/kg
1,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vd,1496.67382240295,ml/kg
2,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vd,1714.37442302704,ml/kg
3,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vd,1580.53982257843,ml/kg
4,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vd,1614.74251747131,ml/kg
5,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vd,1621.38724327087,ml/kg
6,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vd,1390.88356494904,ml/kg
7,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vd,1378.13222408295,ml/kg
8,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vd,1559.37039852142,ml/kg
9,Organism|Bone|Intracellular|Theophylline|Concentration in container,Vd,1634.55891609192,ml/kg
0,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max,35.892879486084,µmol/l
1,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max,47.6063919067383,µmol/l
2,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max,44.1089401245117,µmol/l
3,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max,36.5367813110352,µmol/l
4,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max,100.797439575195,µmol/l
5,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max,105.953567504883,µmol/l
6,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max,40.0328140258789,µmol/l
7,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max,44.9144020080566,µmol/l
8,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max,61.6793823242188,µmol/l
9,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max,52.2573432922363,µmol/l
0,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max_norm,5171060.08529663,mg/l
1,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max_norm,5789808.27331543,mg/l
2,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max_norm,6255439.75830078,mg/l
3,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max_norm,4936618.32809448,mg/l
4,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max_norm,4068886.28005981,mg/l
5,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max_norm,3918690.20462036,mg/l
6,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max_norm,5459558.01010132,mg/l
7,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max_norm,6114513.3972168,mg/l
8,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max_norm,4586827.27813721,mg/l
9,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_max_norm,4209433.07876587,mg/l
0,Organism|Brain|Interstitial|Theophylline|Concentration in container,t_max,0.05,h
1,Organism|Brain|Interstitial|Theophylline|Concentration in container,t_max,0.05,h
2,Organism|Brain|Interstitial|Theophylline|Concentration in container,t_max,0.05,h
3,Organism|Brain|Interstitial|Theophylline|Concentration in container,t_max,0.05,h
4,Organism|Brain|Interstitial|Theophylline|Concentration in container,t_max,0.05,h
5,Organism|Brain|Interstitial|Theophylline|Concentration in container,t_max,0.05,h
6,Organism|Brain|Interstitial|Theophylline|Concentration in container,t_max,0.05,h
7,Organism|Brain|Interstitial|Theophylline|Concentration in container,t_max,0.05,h
8,Organism|Brain|Interstitial|Theophylline|Concentration in container,t_max,0.05,h
9,Organism|Brain|Interstitial|Theophylline|Concentration in container,t_max,0.05,h
0,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_tEnd,2.29786562919617,µmol/l
1,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_tEnd,3.07734417915344,µmol/l
2,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_tEnd,0.0235685091465712,µmol/l
3,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_tEnd,1.14274346828461,µmol/l
4,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_tEnd,0.978159368038177,µmol/l
5,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_tEnd,3.8218514919281,µmol/l
6,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_tEnd,2.53014016151428,µmol/l
