"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,654,0.003536406,0.002321451,0.002841222,0
0,660,0.003444476,0.002261056,0.002763289,0
0,666,0.003354996,0.002202272,0.002687554,0
0,672,0.003267942,0.002145083,0.00261399,0
0,678,0.003183208,0.00208942,0.002542501,0
0,684,0.003100729,0.002035239,0.002473023,0
0,690,0.003020438,0.001982497,0.002405496,0
0,696,0.002942269,0.00193115,0.002339856,0
0,702,0.00286616,0.001881157,0.002276046,0
0,708,0.002792077,0.001832497,0.002214033,0
0,714,0.002719965,0.001785132,0.002153765,0
0,720,0.00264976,0.001739021,0.002095183,0
0,726,0.00258141,0.001694129,0.002038237,0
0,732,0.002514865,0.001650423,0.001982881,0
0,738,0.002450075,0.001607872,0.00192907,0
0,744,0.002386994,0.001566443,0.001876757,0
0,750,0.002325577,0.001526109,0.001825906,0
0,756,0.002265779,0.001486838,0.001776471,0
0,762,0.002207557,0.001448603,0.001728413,0
0,768,0.002150868,0.001411377,0.001681693,0
0,774,0.002095673,0.001375131,0.001636273,0
0,780,0.002041931,0.001339841,0.001592118,0
0,786,0.001989602,0.00130548,0.001549189,0
0,792,0.001938649,0.001272022,0.001507453,0
0,798,0.001889033,0.001239444,0.001466875,0
0,804,0.00184072,0.001207722,0.001427422,0
0,810,0.001793673,0.001176832,0.001389061,0
0,816,0.001747857,0.00114675,0.001351761,0
0,822,0.001703239,0.001117456,0.00131549,0
0,828,0.001659791,0.001088931,0.001280225,0
0,834,0.001617481,0.001061153,0.001245934,0
0,840,0.001576276,0.001034101,0.001212589,0
0,846,0.001536144,0.001007755,0.001180162,0
0,852,0.001497056,0.0009820944,0.001148625,0
0,858,0.001458983,0.0009571005,0.001117952,0
0,864,0.001421897,0.0009327555,0.001088119,0
0,870,0.001385781,0.0009090475,0.001059109,0
0,876,0.001350603,0.0008859555,0.001030894,0
0,882,0.001316337,0.0008634627,0.001003451,0
0,888,0.001282958,0.000841553,0.000976758,0
0,894,0.001250443,0.0008202106,0.0009507933,0
0,900,0.001218769,0.0007994202,0.0009255362,0
0,906,0.001187913,0.000779168,0.0009009681,0
0,912,0.001157856,0.0007594402,0.0008770705,0
0,918,0.001128576,0.0007402224,0.0008538237,0
0,924,0.001100051,0.0007215012,0.0008312098,0
0,930,0.001072263,0.0007032638,0.0008092111,0
0,936,0.001045192,0.0006854975,0.0007878109,0
0,942,0.001018821,0.0006681903,0.0007669927,0
0,948,0.000993127,0.0006513286,0.0007467389,0
0,954,0.0009680954,0.0006349015,0.0007270347,0
0,960,0.0009437083,0.0006188978,0.0007078649,0
0,966,0.0009199491,0.0006033063,0.0006892149,0
0,972,0.0008968012,0.0005881164,0.0006710701,0
0,978,0.0008742487,0.0005733175,0.0006534166,0
0,984,0.0008522759,0.0005588992,0.0006362408,0
0,990,0.0008308674,0.0005448515,0.0006195293,0
0,996,0.0008100085,0.0005311646,0.0006032694,0
0,1002,0.0007896845,0.0005178291,0.0005874481,0
0,1008,0.000769881,0.0005048353,0.0005720532,0
0,1014,0.0007505842,0.0004921742,0.0005570725,0
0,1020,0.0007317802,0.0004798367,0.0005424941,0
0,1026,0.0007134598,0.0004678167,0.0005283103,0
0,1032,0.0006956102,0.0004561058,0.00051451,0
0,1038,0.0006782176,0.000444695,0.0005010811,0
0,1044,0.0006612698,0.0004335761,0.0004880133,0
0,1050,0.0006447547,0.0004227414,0.0004752962,0
0,1056,0.0006286605,0.0004121831,0.0004629198,0
0,1062,0.0006129757,0.0004018934,0.000450874,0
