"Time  [h]","Conc  [mg/l]"
74.5,0.04042644
75,0.06413646
75.5,0.06447762
76,0.06345416
77,0.05424307
78,0.04622601
79,0.03479744
80,0.02831556
81,0.02490405
91,0.01006397
