"time  [h]","conc S.D. [mg/l]","conc  [mg/l]"
360.5,0.207,0.407
361,0.26,0.564
362,0.331,0.8200001
363,0.383,0.99
364,0.447,1.028
366,0.373,0.822
368,0.56,0.864
372,0.192,0.557
376,0.251,0.535
384,0.179,0.419
408,0.122,0.268
432,0.127,0.214
