"Time [h] [h]","C_pls [µg/L] [mg/l]"
0.3007519,0.08195046
0.5112782,0.1246793
0.7819549,0.08063842
0.9924812,0.07319577
1.533835,0.05745738
1.984962,0.05131926
3.037594,0.0321373
4,0.02563767
5.022556,0.01125646
6.015038,0.008418478
8.06015,0.004274065
