"Time  [h]","Conc  [mg/l]"
168,0.6977196
240,1.154317
312,1.528829
384,1.759446
408,1.887489
432,1.801131
432.48,1.620999
435,2.097234
438,1.954963
439.92,1.801131
444,1.659404
456,1.476062
468,1.267661
480,1.195582
504,1.088683
528,0.8818117
600,0.5026991
672,0.1947349
792,0.04055905
