"Time  [h]","Conc  [mg/l]"
170.5,0.02466216
171,0.04695946
171.5,0.05337838
172,0.05371622
173,0.04560811
174,0.02736487
175,0.01824324
176,0.01385135
178,0.008445946
180,0.006081081
