"Time  [h]","Conc  [mg/l]"
73.5,0.02166667
74,0.04714286
74.5,0.05952381
75,0.06357143
76,0.06547619
77,0.055
78,0.04095238
79,0.03428571
80,0.03166667
90,0.01333333
