"Time  [h]","Conc  [mg/l]"
2.5,0.01688312
3,0.02575758
3.5,0.02207792
4,0.01709957
5,0.01190476
6,0.008225108
7,0.005194805
8,0.004329004
9,0.003463204
74.25,0.0539785
74.5,0.04236559
75,0.02860215
75.5,0.02043011
76,0.01569892
77,0.01075269
78,0.008172043
79,0.005806452
80,0.004946237
81,0.004301075
122.5,0.01892473
123,0.03311828
123.5,0.02623656
124,0.01913979
125,0.01182796
126,0.007741936
127,0.004946237
128,0.004301075
129,0.003655914
