"Time  [h]","Conc  [mg/l]"
73,0.139745
73.5,0.1697989
74,0.1811901
74.5,0.1972472
75,0.1982349
76,0.2115337
77,0.2212597
78,0.2052884
79,0.1876372
80,0.1793891
90,0.14912
