"time  [h]","conc S.D. [mg/l]","conc  [mg/l]"
360.5,0.0276,0.135
361,0.06879999,0.28
362,0.0733,0.376
363,0.09520001,0.385
364,0.116,0.378
366,0.122,0.323
368,0.0977,0.255
372,0.0658,0.19
376,0.0477,0.17
384,0.0524,0.124
408,0.0376,0.0772
432,0.0237,0.0411
