"time  [h]","conc S.D. [mg/l]","conc  [mg/l]"
0.5,0.0222,0.0398
1,0.0556,0.072
2,0.128,0.213
3,0.108,0.248
4,0.0898,0.244
6,0.0784,0.159
8,0.0656,0.128
12,0.0336,0.0792
16,0.0353,0.0808
24,0.0305,0.0502
48,0.0046,0.0211
72,0.0103,0.009
