"Time [h] [h]","C_pls [µg/L] [mg/l]"
0.2706767,0.1588307
0.481203,0.07807703
0.7518797,0.05131926
0.9924812,0.03838063
1.533835,0.02690956
2.015038,0.02146721
3.037594,0.0160549
4.030075,0.01005394
5.052631,0.006195209
