"Time   [h]","Column1 [mg/l]"
170.5,0.04898649
171,0.0945946
171.5,0.1006757
172,0.1016892
173,0.07601351
174,0.05371622
175,0.04054054
176,0.03378379
178,0.02331081
180,0.01722973
189,0.006081081
