"time  [h]","conc S.D. [mg/l]","conc  [mg/l]"
360.5,0.29,1.42
361,0.42,1.45
362,0.594,1.64
363,0.543,1.73
364,0.572,1.82
366,0.564,1.66
368,0.293,1.72
372,0.378,1.42
376,0.394,1.39
384,0.286,1.23
408,0.293,1.04
432,0.11,0.698
