"Time  [h]","Conc  [mg/l]"
74.5,0.02466216
75,0.04695946
75.5,0.05337838
76,0.05371622
77,0.04560811
78,0.02736487
79,0.01824324
80,0.01385135
82,0.008445946
84,0.006081081
