"time  [h]","µmol - L [µmol/l]"
0.06147816,0.004310158
0.1538372,0.05789115
0.260645,0.1286113
0.365895,0.1875516
0.53248,0.1576422
0.737455,0.1416699
0.991585,0.1289314
1.560045,0.0981269
2.044783,0.07906467
2.942733,0.05268779
4.000484,0.03708905
5.825133,0.01754305
7.700083,0.009797925
